ring,sex,colony,pair_ID,cycle_pair,year_t,season_outcome,next_season,season_tru
6141773,M,grumant,6141773_6141762,2017_6141773_6141762,2017,NA,NA,NA
6141776,M,grumant,6141776_6161685,2018_g_6141776_6161685,2018_g,NA,NA,NA
6141782,M,grumant,6141782_680937,2016_6141782_680937,2016,NA,NA,NA
6141783,M,grumant,6141783_6141787,2016_6141783_6141787,2016,NA,NA,NA
6146954,M,grumant,6146954_6126006,2011_6146954_6126006,2011,NA,NA,NA
6146954,M,grumant,6146954_6126248,2014_6146954_6126248,2014,NA,NA,NA
6146955,M,grumant,6146955_680908,2010_6146955_680908,2010,0,NA,0
6146955,M,grumant,6146955_680908,2012_6146955_680908,2012,0,0,0
6146955,M,grumant,6146955_680908,2013_6146955_680908,2013,1,0,1
6146955,M,grumant,6146955_6126232,2014_6146955_6126232,2014,1,0,NA
6146955,M,grumant,6146955_6126220,2015_6146955_6126220,2015,NA,NA,NA
6146957,M,grumant,6146957_680947,2010_6146957_680947,2010,0,1,0
6146957,M,grumant,6146957_680947,2011_6146957_680947,2011,0,1,0
6146957,M,grumant,6146957_680947,2012_6146957_680947,2012,NA,NA,NA
6146960,M,grumant,6146960_6126002,2012_6146960_6126002,2012,NA,NA,NA
6146963,M,grumant,6146963_6126234,2014_6146963_6126234,2014,NA,NA,NA
6146967,M,grumant,6146967_6126226,2012_6146967_6126226,2012,1,0,1
6146967,M,grumant,6146967_6126045,2013_6146967_6126045,2013,1,0,1
6146967,M,grumant,6146967_680936,2014_6146967_680936,2014,0,NA,0
6146967,M,grumant,6146967_680936,2017_6146967_680936,2017,NA,NA,NA
6146977,M,grumant,6146977_6146959,2010_6146977_6146959,2010,0,1,0
6146977,M,grumant,6146977_6146959,2011_6146977_6146959,2011,0,0,0
6146977,M,grumant,6146977_6146959,2012_6146977_6146959,2012,NA,NA,NA
6146982,M,grumant,6146982_6126232,2012_6146982_6126232,2012,NA,NA,NA
6146982,M,grumant,6146982_6146959,2014_6146982_6146959,2014,NA,NA,NA
6146983,M,grumant,6146983_6126225,2012_6146983_6126225,2012,0,NA,0
6146983,M,grumant,6146983_6126225,2014_6146983_6126225,2014,NA,NA,NA
6146983,M,grumant,6146983_6141765,2016_6146983_6141765,2016,0,0,0
6146983,M,grumant,6146983_6141765,2017_6146983_6141765,2017,NA,NA,NA
6146996,M,grumant,6146996_6126012,2014_6146996_6126012,2014,NA,NA,NA
6146996,M,grumant,6146996_6141771,2016_6146996_6141771,2016,0,0,0
6146996,M,grumant,6146996_6141771,2017_6146996_6141771,2017,0,0,0
6146996,M,grumant,6146996_6141771,2018_g_6146996_6141771,2018_g,NA,NA,NA
6161662,M,grumant,6161662_6228300,2017_6161662_6228300,2017,NA,NA,NA
6161664,M,grumant,6161664_6161670,2017_6161664_6161670,2017,NA,NA,NA
6161666,M,grumant,6161666_6177218,2010_6161666_6177218,2010,0,1,0
6161666,M,grumant,6161666_6177218,2011_6161666_6177218,2011,1,0,NA
6161666,M,grumant,6161666_6126046,2012_6161666_6126046,2012,0,0,0
6161666,M,grumant,6161666_6126046,2013_6161666_6126046,2013,0,0,0
6161666,M,grumant,6161666_6126046,2014_6161666_6126046,2014,0,1,0
6161666,M,grumant,6161666_6126046,2015_6161666_6126046,2015,0,NA,0
6161666,M,grumant,6161666_6126046,2017_6161666_6126046,2017,NA,NA,NA
6161669,M,grumant,6161669_6177214,2009_6161669_6177214,2009,1,1,1
6161669,M,grumant,6161669_680935,2010_6161669_680935,2010,0,1,0
6161669,M,grumant,6161669_680935,2011_6161669_680935,2011,1,1,NA
