male_ring,female_ring,colony,pair_ID,cycle_pair,year,nest,chick_sur,season_outcome,ulti_outcome,missed_seasons,male_next_season_sur,female_next_season_sur,male_pers,female_pers,absol
6177248,6177205,grumant,6177248_6177205,2011_6177248_6177205,2011,J#0003,1,0,0,0,1,1,2.148325396,NA,NA
6177248,6177205,grumant,6177248_6177205,2012_6177248_6177205,2012,J#0003,1,0,0,0,0,0,2.148325396,NA,NA
6177248,6177205,grumant,6177248_6177205,2013_6177248_6177205,2013,J#0003,0,0,0,0,0,0,2.148325396,NA,NA
6177248,6177205,grumant,6177248_6177205,2014_6177248_6177205,2014,J#0003,0,0,0,0,1,1,2.148325396,NA,NA
6177248,6177205,grumant,6177248_6177205,2015_6177248_6177205,2015,J#0003,1,0,0,0,1,1,2.148325396,NA,NA
6177248,6177205,grumant,6177248_6177205,2016_6177248_6177205,2016,J#0003,1,1,1,0,0,NA,2.148325396,NA,NA
6177248,6177208,grumant,6177248_6177208,2017_6177248_6177208,2017,J#0003,0,1,1,0,NA,0,2.148325396,1.924625575,0.223699821
6177250,6177211,grumant,6177250_6177211,2010_6177250_6177211,2010,K#0001,1,1,1,0,NA,1,2.102776511,NA,NA
6177250,680945,grumant,6177250_680945,2012_6177250_680945,2012,L#0006,0,0,0,0,0,0,2.102776511,NA,NA
6177250,680945,grumant,6177250_680945,2013_6177250_680945,2013,L#0006,0,1,1,0,0,NA,2.102776511,NA,NA
6177250,6126240,grumant,6177250_6126240,2014_6177250_6126240,2014,L#0006,0,0,0,0,1,1,2.102776511,1.749924563,0.352851948
6177250,6126240,grumant,6177250_6126240,2015_6177250_6126240,2015,L#0006,1,0,0,0,1,1,2.102776511,1.749924563,0.352851948
6177250,6126240,grumant,6177250_6126240,2016_6177250_6126240,2016,L#0006,1,0,0,0,0,0,2.102776511,1.749924563,0.352851948
6177250,6126240,grumant,6177250_6126240,2017_6177250_6126240,2017,L#0006,0,NA,NA,NA,NA,NA,2.102776511,1.749924563,0.352851948
6177308,6177221,grumant,6177308_6177221,2010_6177308_6177221,2010,L#0002,1,0,0,0,0,0,1.605185932,NA,NA
6177308,6177221,grumant,6177308_6177221,2011_6177308_6177221,2011,L#0002,0,0,0,0,1,1,1.605185932,NA,NA
6177308,6177221,grumant,6177308_6177221,2012_6177308_6177221,2012,L#0003,1,0,0,0,0,0,1.605185932,NA,NA
6177308,6177221,grumant,6177308_6177221,2013_6177308_6177221,2013,L#0003,0,0,0,0,0,0,1.605185932,NA,NA
6177308,6177221,grumant,6177308_6177221,2014_6177308_6177221,2014,L#0003,0,0,0,0,1,1,1.605185932,NA,NA
6177308,6177221,grumant,6177308_6177221,2015_6177308_6177221,2015,L#0003,1,1,1,0,1,NA,1.605185932,NA,NA
6177308,6126012,grumant,6177308_6126012,2016_6177308_6126012,2016,L#0003,1,NA,1,1,NA,NA,1.605185932,NA,NA
6177308,6161679,grumant,6177308_6161679,2018_g_6177308_6161679,2018_g,L#0003,0,NA,NA,NA,NA,NA,1.605185932,2.455532876,0.850346944
6191650,6141767,grumant,6191650_6141767,2015_6191650_6141767,2015,C#0005,0,NA,NA,NA,NA,NA,NA,NA,NA
6228269,6141784,grumant,6228269_6141784,2016_6228269_6141784,2016,N#0002,1,0,0,0,0,0,-0.009611698,0.092387679,0.101999377
6228269,6141784,grumant,6228269_6141784,2017_6228269_6141784,2017,N#0002,0,NA,NA,NA,NA,NA,-0.009611698,0.092387679,0.101999377
6228271,6141764,grumant,6228271_6141764,2016_6228271_6141764,2016,G#0001,0,1,1,0,0,NA,NA,NA,NA
6228271,680932,grumant,6228271_680932,2017_6228271_680932,2017,M#0001,0,NA,NA,NA,NA,NA,NA,1.6661128,NA
6228274,6228275,grumant,6228274_6228275,2016_6228274_6228275,2016,F#0003,0,NA,NA,NA,NA,NA,1.531039415,NA,NA
6228293,6228300,grumant,6228293_6228300,2016_6228293_6228300,2016,S#0001,0,1,1,0,NA,0,NA,NA,NA
6191642,6234547,pyramiden,6191642_6234547,2021_6191642_6234547,2021,I4,1,0,0,0,1,1,NA,0.264237811,NA
6191642,6234547,pyramiden,6191642_6234547,2022_6191642_6234547,2022,I4,1,NA,NA,NA,NA,NA,NA,0.264237811,NA
6191643,6207522,pyramiden,6191643_6207522,2021_6191643_6207522,2021,O1,1,NA,NA,NA,NA,NA,NA,NA,NA
6207506,6207514,pyramiden,6207506_6207514,2021_6207506_6207514,2021,A4,1,NA,NA,NA,NA,NA,-1.070910047,-1.107049258,0.036139211
6207512,6207507,pyramiden,6207512_6207507,2021_6207512_6207507,2021,D4,1,0,0,0,1,1,1.265907372,1.229642018,0.036265354
6207512,6207507,pyramiden,6207512_6207507,2022_6207512_6207507,2022,D4,1,NA,NA,NA,NA,NA,1.265907372,1.229642018,0.036265354
6207517,6234772,pyramiden,6207517_6234772,2021_6207517_6234772,2021,E3,0,NA,NA,NA,NA,NA,-1.189890475,1.40423917,2.594129645
6207521,6207508,pyramiden,6207521_6207508,2021_6207521_6207508,2021,K11,1,NA,NA,NA,NA,NA,NA,NA,NA
6207524,6234569,pyramiden,6207524_6234569,2021_6207524_6234569,2021,I5,1,NA,NA,NA,NA,NA,-0.815223899,-1.571186675,0.755962776
6207525,6207541,pyramiden,6207525_6207541,2021_6207525_6207541,2021,B2,1,0,0,0,0,0,1.213935282,1.236015045,0.022079763
6207525,6207541,pyramiden,6207525_6207541,2022_6207525_6207541,2022,B2,0,NA,NA,NA,NA,NA,1.213935282,1.236015045,0.022079763
6207526,6207515,pyramiden,6207526_6207515,2021_6207526_6207515,2021,B5,1,0,0,0,0,0,1.109171917,1.265907372,0.156735455
6207526,6207515,pyramiden,6207526_6207515,2022_6207526_6207515,2022,B4,0,NA,NA,NA,NA,NA,1.109171917,1.265907372,0.156735455
6207532,6234588,pyramiden,6207532_6234588,2021_6207532_6234588,2021,T2,1,NA,NA,NA,NA,NA,NA,NA,NA
6207534,6234589,pyramiden,6207534_6234589,2021_6207534_6234589,2021,S3,1,NA,NA,NA,NA,NA,NA,NA,NA
6207535,6234176,pyramiden,6207535_6234176,2021_6207535_6234176,2021,S1,1,NA,NA,NA,NA,NA,NA,NA,NA
6207538,6234548,pyramiden,6207538_6234548,2021_6207538_6234548,2021,N2,1,0,0,0,0,0,NA,1.786986752,NA
6207538,6234548,pyramiden,6207538_6234548,2022_6207538_6234548,2022,N2,0,NA,NA,NA,NA,NA,NA,1.786986752,NA
6207540,6207518,pyramiden,6207540_6207518,2021_6207540_6207518,2021,C6,1,NA,NA,NA,NA,NA,1.227282054,1.217380735,0.009901319
6234173,6207537,pyramiden,6234173_6207537,2021_6234173_6207537,2021,M4,1,0,0,0,0,0,0.180845024,NA,NA
6234173,6207537,pyramiden,6234173_6207537,2022_6234173_6207537,2022,M4,0,NA,NA,NA,NA,NA,0.180845024,NA,NA
6234174,6207520,pyramiden,6234174_6207520,2021_6234174_6207520,2021,K10,1,0,0,0,0,0,NA,NA,NA
6234174,6207520,pyramiden,6234174_6207520,2022_6234174_6207520,2022,K9,0,NA,NA,NA,NA,NA,NA,NA,NA
6234451,6234765,pyramiden,6234451_6234765,2019_6234451_6234765,2019,G4,NA,0,0,1,NA,NA,1.442347744,-0.083362817,1.525710561
6234451,6234765,pyramiden,6234451_6234765,2021_6234451_6234765,2021,G4,1,NA,NA,NA,NA,NA,1.442347744,-0.083362817,1.525710561
6234451,6234765,pyramiden,6234451_6234765,2018_p_6234451_6234765,2018_p,G3,1,0,0,0,NA,NA,1.442347744,-0.083362817,1.525710561
6234454,6234757,pyramiden,6234454_6234757,2018_p_6234454_6234757,2018_p,I3,0,NA,NA,NA,NA,NA,-1.149092315,-0.579745542,0.569346773
6234455,6234759,pyramiden,6234455_6234759,2019_6234455_6234759,2019,I6,NA,0,0,1,NA,NA,-0.427732197,1.225971188,1.653703385
6234455,6234759,pyramiden,6234455_6234759,2021_6234455_6234759,2021,I7,0,NA,NA,NA,NA,NA,-0.427732197,1.225971188,1.653703385
6234455,6234759,pyramiden,6234455_6234759,2018_p_6234455_6234759,2018_p,I6,1,0,0,0,NA,NA,-0.427732197,1.225971188,1.653703385
6234458,6234770,pyramiden,6234458_6234770,2019_6234458_6234770,2019,F2,NA,0,0,1,NA,NA,0.86958493,1.476848183,0.607263253
6234458,6234770,pyramiden,6234458_6234770,2021_6234458_6234770,2021,F2,1,NA,NA,NA,NA,NA,0.86958493,1.476848183,0.607263253
6234458,6234770,pyramiden,6234458_6234770,2018_p_6234458_6234770,2018_p,F2,1,0,0,0,NA,NA,0.86958493,1.476848183,0.607263253
6234459,6234772,pyramiden,6234459_6234772,2018_p_6234459_6234772,2018_p,E3,0,1,1,0,NA,NA,-0.815688447,1.40423917,2.219927617
6234460,6234773,pyramiden,6234460_6234773,2019_6234460_6234773,2019,E2,NA,0,0,1,NA,NA,0.964952222,0.722024659,0.242927563
6234460,6234773,pyramiden,6234460_6234773,2021_6234460_6234773,2021,E2,0,NA,NA,NA,NA,NA,0.964952222,0.722024659,0.242927563
6234460,6234773,pyramiden,6234460_6234773,2018_p_6234460_6234773,2018_p,E2,1,0,0,0,NA,NA,0.964952222,0.722024659,0.242927563
6234461,6234738,pyramiden,6234461_6234738,2019_6234461_6234738,2019,E1,NA,0,0,0,NA,NA,1.437929665,-0.762967234,2.200896899
6234461,6234738,pyramiden,6234461_6234738,2021_6234461_6234738,2021,E1,0,NA,NA,NA,NA,NA,1.437929665,-0.762967234,2.200896899
6234461,6234774,pyramiden,6234461_6234774,2018_p_6234461_6234774,2018_p,E1,0,1,1,0,NA,NA,1.437929665,-0.803024724,2.240954389
6234466,6234785,pyramiden,6234466_6234785,2019_6234466_6234785,2019,K3,NA,0,0,1,NA,NA,1.525603944,1.233911456,0.291692488
6234466,6234785,pyramiden,6234466_6234785,2021_6234466_6234785,2021,K3,1,NA,NA,NA,NA,NA,1.525603944,1.233911456,0.291692488
6234466,6234785,pyramiden,6234466_6234785,2018_p_6234466_6234785,2018_p,K2,1,0,0,0,NA,NA,1.525603944,1.233911456,0.291692488
6234467,6234787,pyramiden,6234467_6234787,2019_6234467_6234787,2019,K6,NA,0,0,0,NA,NA,0.770740848,-0.932419694,1.703160542
6234467,6234787,pyramiden,6234467_6234787,2021_6234467_6234787,2021,K7,1,NA,NA,NA,NA,NA,0.770740848,-0.932419694,1.703160542
6234468,6234788,pyramiden,6234468_6234788,2018_p_6234468_6234788,2018_p,K6,0,NA,1,2,NA,NA,NA,1.163492298,NA
6234470,6234790,pyramiden,6234470_6234790,2018_p_6234470_6234790,2018_p,L1,0,1,1,0,NA,NA,0.725159889,-0.545649588,1.270809477
6234471,6234791,pyramiden,6234471_6234791,2019_6234471_6234791,2019,L2,NA,0,0,1,NA,NA,0.838036852,0.980336456,0.142299604
6234471,6234791,pyramiden,6234471_6234791,2021_6234471_6234791,2021,L2,1,NA,NA,NA,NA,NA,0.838036852,0.980336456,0.142299604
6234474,6234796,pyramiden,6234474_6234796,2019_6234474_6234796,2019,M3,NA,0,0,1,NA,NA,1.299507555,0.975090674,0.324416881
6234474,6234796,pyramiden,6234474_6234796,2021_6234474_6234796,2021,M3,1,0,0,0,1,1,1.299507555,0.975090674,0.324416881
6234474,6234796,pyramiden,6234474_6234796,2022_6234474_6234796,2022,M3,1,NA,NA,NA,NA,NA,1.299507555,0.975090674,0.324416881
6234474,6234796,pyramiden,6234474_6234796,2018_p_6234474_6234796,2018_p,M3,1,0,0,0,NA,NA,1.299507555,0.975090674,0.324416881
6234476,6234731,pyramiden,6234476_6234731,2021_6234476_6234731,2021,N3,1,NA,NA,NA,NA,NA,-0.588478533,0.752943187,1.34142172
6234476,6234800,pyramiden,6234476_6234800,2018_p_6234476_6234800,2018_p,N3,1,NA,1,2,NA,NA,-0.588478533,0.933792499,1.522271032
6234477,6234601,pyramiden,6234477_6234601,2019_6234477_6234601,2019,N4,NA,0,0,1,NA,NA,1.065010711,1.435122194,0.370111483
6234477,6234601,pyramiden,6234477_6234601,2021_6234477_6234601,2021,N4,1,NA,NA,NA,NA,NA,1.065010711,1.435122194,0.370111483
6234507,6234465,pyramiden,6234507_6234465,2019_6234507_6234465,2019,B3,NA,0,0,1,NA,NA,1.257174381,0.086180792,1.170993589
6234507,6234465,pyramiden,6234507_6234465,2021_6234507_6234465,2021,B6,0,NA,NA,NA,NA,NA,1.257174381,0.086180792,1.170993589
6234507,6234465,pyramiden,6234507_6234465,2018_p_6234507_6234465,2018_p,B3,1,0,0,0,NA,NA,1.257174381,0.086180792,1.170993589
6234508,6207539,pyramiden,6234508_6207539,2021_6234508_6207539,2021,C3,1,NA,NA,NA,NA,NA,1.247341032,1.236015045,0.011325987
6234508,6234781,pyramiden,6234508_6234781,2018_p_6234508_6234781,2018_p,C2,0,NA,1,2,NA,NA,1.247341032,-0.551839653,1.799180685
6234509,6234777,pyramiden,6234509_6234777,2021_6234509_6234777,2021,D2,1,0,0,0,0,0,0.672713997,0.339464403,0.333249594
6234509,6234777,pyramiden,6234509_6234777,2022_6234509_6234777,2022,D2,0,NA,NA,NA,NA,NA,0.672713997,0.339464403,0.333249594
6234509,6234777,pyramiden,6234509_6234777,2018_p_6234509_6234777,2018_p,D2,1,0,0,2,NA,NA,0.672713997,0.339464403,0.333249594
6234510,6234766,pyramiden,6234510_6234766,2019_6234510_6234766,2019,G3,NA,0,0,1,NA,NA,-0.622870558,-0.082815133,0.540055425
6234510,6234766,pyramiden,6234510_6234766,2021_6234510_6234766,2021,G3,1,0,0,0,1,1,-0.622870558,-0.082815133,0.540055425
6234510,6234766,pyramiden,6234510_6234766,2022_6234510_6234766,2022,G3,1,NA,NA,NA,NA,NA,-0.622870558,-0.082815133,0.540055425
6234510,6234766,pyramiden,6234510_6234766,2018_p_6234510_6234766,2018_p,G2,1,0,0,0,NA,NA,-0.622870558,-0.082815133,0.540055425
6234513,6234582,pyramiden,6234513_6234582,2021_6234513_6234582,2021,M2,1,0,0,0,0,0,-0.050044893,1.324335328,1.374380221
6234513,6234582,pyramiden,6234513_6234582,2022_6234513_6234582,2022,M2,0,NA,NA,NA,NA,NA,-0.050044893,1.324335328,1.374380221
6234513,6234795,pyramiden,6234513_6234795,2018_p_6234513_6234795,2018_p,M2,0,1,1,0,NA,NA,-0.050044893,1.405691235,1.455736128
6234516,6234720,pyramiden,6234516_6234720,2019_6234516_6234720,2019,H4,NA,0,0,1,NA,NA,-0.791617864,0.677788666,1.46940653
6234516,6234720,pyramiden,6234516_6234720,2021_6234516_6234720,2021,H4,0,NA,NA,NA,NA,NA,-0.791617864,0.677788666,1.46940653
6234516,6234760,pyramiden,6234516_6234760,2018_p_6234516_6234760,2018_p,H4,0,1,1,0,NA,NA,-0.791617864,1.534336935,2.325954799
6234524,6234525,pyramiden,6234524_6234525,2019_6234524_6234525,2019,O3,NA,NA,NA,NA,NA,NA,1.380169076,0.815094058,0.565075018
6234524,6234603,pyramiden,6234524_6234603,2018_p_6234524_6234603,2018_p,O2,0,1,1,0,NA,NA,1.380169076,1.534336935,0.154167859
6234526,6234486,pyramiden,6234526_6234486,2018_p_6234526_6234486,2018_p,Q3,0,NA,NA,NA,NA,NA,-0.824421439,1.508137962,2.332559401
6234527,6234481,pyramiden,6234527_6234481,2018_p_6234527_6234481,2018_p,S1,0,NA,1,3,NA,NA,1.516870953,NA,NA
6234528,6234609,pyramiden,6234528_6234609,2019_6234528_6234609,2019,U1,NA,NA,NA,NA,NA,NA,-0.04231492,0.352519336,0.394834256
6234549,6234783,pyramiden,6234549_6234783,2018_p_6234549_6234783,2018_p,B1,1,NA,1,3,NA,NA,NA,-0.722391652,NA
6234565,6207513,pyramiden,6234565_6207513,2021_6234565_6207513,2021,A5,1,NA,NA,NA,NA,NA,1.236015045,1.185673901,0.050341144
6234567,6234511,pyramiden,6234567_6234511,2021_6234567_6234511,2021,I1,0,0,0,0,0,0,1.315602337,-0.292372112,1.607974449
6234567,6234511,pyramiden,6234567_6234511,2022_6234567_6234511,2022,I1,0,NA,NA,NA,NA,NA,1.315602337,-0.292372112,1.607974449
6234571,6234583,pyramiden,6234571_6234583,2021_6234571_6234583,2021,Q1,0,0,0,0,NA,NA,NA,NA,NA
6234571,6234583,pyramiden,6234571_6234583,2022_6234571_6234583,2022,R1,0,NA,NA,NA,NA,NA,NA,NA,NA
6234572,6234193,pyramiden,6234572_6234193,2021_6234572_6234193,2021,R2,1,1,1,0,1,NA,NA,NA,NA
6234572,Unringed,pyramiden,6234572_Unringed,2022_6234572_Unringed,2022,R2,1,NA,NA,NA,NA,NA,NA,NA,NA
6234573,6234590,pyramiden,6234573_6234590,2021_6234573_6234590,2021,R3,1,0,0,0,0,0,NA,NA,NA
6234573,6234590,pyramiden,6234573_6234590,2022_6234573_6234590,2022,R3,0,NA,NA,NA,NA,NA,NA,NA,NA
6234575,6207533,pyramiden,6234575_6207533,2021_6234575_6207533,2021,T1,1,NA,NA,NA,NA,NA,NA,NA,NA
6234576,6207510,pyramiden,6234576_6207510,2021_6234576_6207510,2021,T4,1,0,0,0,0,0,NA,-1.027705931,NA
6234576,6207510,pyramiden,6234576_6207510,2022_6234576_6207510,2022,T4,0,NA,NA,NA,NA,NA,NA,-1.027705931,NA
6234578,6207509,pyramiden,6234578_6207509,2021_6234578_6207509,2021,L3,1,1,1,0,NA,1,1.319968833,1.341801311,0.021832478
6234579,6234515,pyramiden,6234579_6234515,2021_6234579_6234515,2021,N1,1,NA,NA,NA,NA,NA,1.319968833,1.443180535,0.123211702
6234580,6234739,pyramiden,6234580_6234739,2021_6234580_6234739,2021,C5,1,NA,NA,NA,NA,NA,1.23164855,1.215197487,0.016451063
6234581,6234721,pyramiden,6234581_6234721,2021_6234581_6234721,2021,K6,1,NA,NA,NA,NA,NA,-1.13882678,1.552556142,2.691382922
6234584,6234570,pyramiden,6234584_6234570,2021_6234584_6234570,2021,I6,1,NA,NA,NA,NA,NA,NA,NA,NA
6234585,6234568,pyramiden,6234585_6234568,2021_6234585_6234568,2021,I2,1,NA,NA,NA,NA,NA,NA,NA,NA
6234587,6234577,pyramiden,6234587_6234577,2021_6234587_6234577,2021,U2,1,1,1,0,0,NA,NA,NA,NA
6234587,6234528,pyramiden,6234587_6234528,2022_6234587_6234528,2022,U1,0,NA,NA,NA,NA,NA,NA,-0.04231492,NA
6234591,6207519,pyramiden,6234591_6207519,2021_6234591_6207519,2021,C4,1,0,0,0,0,0,-0.718971581,1.156525545,1.875497126
6234591,6207519,pyramiden,6234591_6207519,2022_6234591_6207519,2022,C3,0,NA,NA,NA,NA,NA,-0.718971581,1.156525545,1.875497126
6234602,6234525,pyramiden,6234602_6234525,2018_p_6234602_6234525,2018_p,O1,0,1,1,0,NA,NA,1.534336935,0.815094058,0.719242877
6234606,6234724,pyramiden,6234606_6234724,2021_6234606_6234724,2021,Q3,1,1,1,0,0,NA,1.534336935,1.800086239,0.265749304
6234606,6234481,pyramiden,6234606_6234481,2022_6234606_6234481,2022,Q2,0,NA,NA,NA,NA,NA,1.534336935,NA,NA
6234606,6234643,pyramiden,6234606_6234643,2018_p_6234606_6234643,2018_p,Q2,0,NA,1,2,NA,NA,1.534336935,1.516870953,0.017465982
6234607,6234741,pyramiden,6234607_6234741,2019_6234607_6234741,2019,Q3,NA,0,0,1,NA,NA,0.974742171,-1.129125701,2.103867872
6234607,6234741,pyramiden,6234607_6234741,2021_6234607_6234741,2021,Q4,0,NA,NA,NA,NA,NA,0.974742171,-1.129125701,2.103867872
6234608,6234574,pyramiden,6234608_6234574,2021_6234608_6234574,2021,R1,1,1,1,0,NA,0,0.739273584,NA,NA
6234608,6234480,pyramiden,6234608_6234480,2018_p_6234608_6234480,2018_p,R1,0,NA,1,2,NA,NA,0.739273584,-0.90900046,1.648274044
6234613,6234529,pyramiden,6234613_6234529,2021_6234613_6234529,2021,B4,1,0,0,0,0,0,1.065094527,0.679465989,0.385628538
6234613,6234529,pyramiden,6234613_6234529,2022_6234613_6234529,2022,B3,0,NA,NA,NA,NA,NA,1.065094527,0.679465989,0.385628538
6234625,6234783,pyramiden,6234625_6234783,2022_6234625_6234783,2022,B1,1,NA,NA,NA,NA,NA,1.24122736,-0.722391652,1.963619012
6234702,6234728,pyramiden,6234702_6234728,2019_6234702_6234728,2019,G1,NA,NA,1,1,NA,NA,-0.868116761,-0.47662245,0.391494311
6234702,6207516,pyramiden,6234702_6207516,2021_6234702_6207516,2021,G1,1,0,0,0,1,1,-0.868116761,-0.30898917,0.559127591
6234702,6207516,pyramiden,6234702_6207516,2022_6234702_6207516,2022,G1,1,NA,NA,NA,NA,NA,-0.868116761,-0.30898917,0.559127591
6234702,6234650,pyramiden,6234702_6234650,2018_p_6234702_6234650,2018_p,G1,1,1,1,0,NA,NA,-0.868116761,0.329773695,1.197890456
6234725,6234730,pyramiden,6234725_6234730,2019_6234725_6234730,2019,D5,NA,0,0,1,NA,NA,0.680060747,1.660793913,0.980733166
6234725,6234730,pyramiden,6234725_6234730,2021_6234725_6234730,2021,D6,1,0,0,0,1,1,0.680060747,1.660793913,0.980733166
6234725,6234730,pyramiden,6234725_6234730,2022_6234725_6234730,2022,D6,1,NA,NA,NA,NA,NA,0.680060747,1.660793913,0.980733166
6234726,6234721,pyramiden,6234726_6234721,2019_6234726_6234721,2019,K5,NA,NA,1,1,NA,NA,1.795719743,1.552556142,0.243163601
6234727,6234742,pyramiden,6234727_6234742,2019_6234727_6234742,2019,M1,NA,NA,1,1,NA,NA,0.54621436,1.786986752,1.240772392
6234727,6234795,pyramiden,6234727_6234795,2021_6234727_6234795,2021,M1,1,NA,NA,NA,NA,NA,0.54621436,1.405691235,0.859476875
6234729,6234719,pyramiden,6234729_6234719,2019_6234729_6234719,2019,G5,NA,0,0,1,NA,NA,0.71422902,0.787747182,0.073518162
6234729,6234719,pyramiden,6234729_6234719,2021_6234729_6234719,2021,G5,1,0,0,0,0,0,0.71422902,0.787747182,0.073518162
6234729,6234719,pyramiden,6234729_6234719,2022_6234729_6234719,2022,G5,0,NA,NA,NA,NA,NA,0.71422902,0.787747182,0.073518162
6234732,6234722,pyramiden,6234732_6234722,2019_6234732_6234722,2019,K1,NA,NA,1,1,NA,NA,1.791353247,-0.375318066,2.166671313
6234732,6234788,pyramiden,6234732_6234788,2021_6234732_6234788,2021,K9,1,NA,NA,NA,NA,NA,1.791353247,1.163492298,0.627860949
6234733,6234723,pyramiden,6234733_6234723,2019_6234733_6234723,2019,U2,NA,0,0,1,NA,NA,0.025853274,1.522857313,1.497004039
6234733,6234723,pyramiden,6234733_6234723,2021_6234733_6234723,2021,U3,1,NA,NA,NA,NA,NA,0.025853274,1.522857313,1.497004039
6234734,6234724,pyramiden,6234734_6234724,2019_6234734_6234724,2019,P2,NA,NA,1,1,NA,NA,-0.384051057,1.800086239,2.184137296
6234734,6234175,pyramiden,6234734_6234175,2022_6234734_6234175,2022,P2,1,NA,NA,NA,NA,NA,-0.384051057,NA,NA
6234735,6234472,pyramiden,6234735_6234472,2019_6234735_6234472,2019,L3,NA,NA,NA,NA,NA,NA,1.791353247,0.60057399,1.190779257
6234737,6234747,pyramiden,6234737_6234747,2019_6234737_6234747,2019,G2,NA,0,0,1,NA,NA,1.231097516,NA,NA
6234737,6234747,pyramiden,6234737_6234747,2021_6234737_6234747,2021,G2,1,0,0,0,1,1,1.231097516,NA,NA
6234737,6234747,pyramiden,6234737_6234747,2022_6234737_6234747,2022,G2,1,NA,NA,NA,NA,NA,1.231097516,NA,NA
6234744,6234611,pyramiden,6234744_6234611,2019_6234744_6234611,2019,U3,NA,0,0,1,NA,NA,1.341801311,-0.675900777,2.017702088
6234744,6234611,pyramiden,6234744_6234611,2021_6234744_6234611,2021,U4,1,0,0,0,1,1,1.341801311,-0.675900777,2.017702088
6234744,6234611,pyramiden,6234744_6234611,2022_6234744_6234611,2022,U4,1,NA,NA,NA,NA,NA,1.341801311,-0.675900777,2.017702088
6234745,6234478,pyramiden,6234745_6234478,2019_6234745_6234478,2019,P3,NA,0,0,1,NA,NA,NA,NA,NA
6234745,6234478,pyramiden,6234745_6234478,2021_6234745_6234478,2021,P3,1,0,0,0,1,1,NA,NA,NA
6234745,6234478,pyramiden,6234745_6234478,2022_6234745_6234478,2022,P3,1,NA,NA,NA,NA,NA,NA,NA,NA
6234748,6234736,pyramiden,6234748_6234736,2019_6234748_6234736,2019,H5,NA,NA,1,2,NA,NA,NA,1.249114532,NA
6234755,6234531,pyramiden,6234755_6234531,2018_p_6234755_6234531,2018_p,I4,0,NA,NA,NA,NA,NA,1.534336935,-0.825538832,2.359875767
6234756,6234547,pyramiden,6234756_6234547,2019_6234756_6234547,2019,I5,NA,NA,1,1,NA,NA,-0.470438417,0.264237811,0.734676228
6234756,6234547,pyramiden,6234756_6234547,2018_p_6234756_6234547,2018_p,I5,0,0,0,0,NA,NA,-0.470438417,0.264237811,0.734676228
6234758,6234511,pyramiden,6234758_6234511,2018_p_6234758_6234511,2018_p,I2,0,NA,1,2,NA,NA,0.941525649,-0.292372112,1.233897761
6234761,6234772,pyramiden,6234761_6234772,2019_6234761_6234772,2019,E3,NA,NA,1,1,NA,NA,-0.332154094,1.40423917,1.736393264
6234761,6234701,pyramiden,6234761_6234701,2018_p_6234761_6234701,2018_p,H3,0,1,1,0,NA,NA,-0.332154094,NA,NA
6234762,6234453,pyramiden,6234762_6234453,2019_6234762_6234453,2019,H2,NA,0,0,2,NA,NA,1.428062725,0.682842641,0.745220084
6234762,6234453,pyramiden,6234762_6234453,2022_6234762_6234453,2022,H2,1,NA,NA,NA,NA,NA,1.428062725,0.682842641,0.745220084
6234762,6234453,pyramiden,6234762_6234453,2018_p_6234762_6234453,2018_p,H2,0,0,0,0,NA,NA,1.428062725,0.682842641,0.745220084
6234763,6234530,pyramiden,6234763_6234530,2019_6234763_6234530,2019,H1,NA,0,0,1,NA,NA,0.631527517,-0.027323502,0.658851019
6234763,6234530,pyramiden,6234763_6234530,2021_6234763_6234530,2021,H1,1,NA,NA,NA,NA,NA,0.631527517,-0.027323502,0.658851019
6234764,6234452,pyramiden,6234764_6234452,2019_6234764_6234452,2019,G6,NA,0,0,1,NA,NA,1.110921966,0.89130859,0.219613376
6234764,6234452,pyramiden,6234764_6234452,2021_6234764_6234452,2021,G6,1,1,1,0,0,0,1.110921966,0.89130859,0.219613376
6234764,Unringed,pyramiden,6234764_Unringed,2022_6234764_Unringed,2022,G6,0,NA,NA,NA,NA,NA,1.110921966,NA,NA
6234764,6234452,pyramiden,6234764_6234452,2018_p_6234764_6234452,2018_p,G5,1,0,0,0,NA,NA,1.110921966,0.89130859,0.219613376
6234767,6234718,pyramiden,6234767_6234718,2019_6234767_6234718,2019,F5,NA,NA,1,1,NA,NA,1.244438234,1.166057528,0.078380706
6234767,6207505,pyramiden,6234767_6207505,2021_6234767_6207505,2021,F5,1,NA,NA,NA,NA,NA,1.244438234,0.640486804,0.60395143
6234767,6234456,pyramiden,6234767_6234456,2018_p_6234767_6234456,2018_p,F5,0,1,1,0,NA,NA,1.244438234,0.464629514,0.77980872
6234768,6234550,pyramiden,6234768_6234550,2019_6234768_6234550,2019,F4,NA,0,0,1,NA,NA,1.297820221,-0.608367146,1.906187367
6234768,6234550,pyramiden,6234768_6234550,2021_6234768_6234550,2021,F4,1,NA,NA,NA,NA,NA,1.297820221,-0.608367146,1.906187367
6234768,6234550,pyramiden,6234768_6234550,2018_p_6234768_6234550,2018_p,F4,1,0,0,0,NA,NA,1.297820221,-0.608367146,1.906187367
6234769,6234456,pyramiden,6234769_6234456,2021_6234769_6234456,2021,F3,0,0,0,0,0,0,1.217354724,0.464629514,0.75272521
6234769,6234456,pyramiden,6234769_6234456,2022_6234769_6234456,2022,F3,0,NA,NA,NA,NA,NA,1.217354724,0.464629514,0.75272521
