colony,pers_scores
Pyramiden,1.341801311
Pyramiden,0.957152716
Pyramiden,-0.540438391
Pyramiden,1.584974802
Pyramiden,-0.575379046
Pyramiden,1.534336935
Pyramiden,-0.470438417
Pyramiden,-0.579745542
Pyramiden,0.941525649
Pyramiden,1.225971188
Pyramiden,1.534336935
Pyramiden,-0.332154094
Pyramiden,1.428062725
Pyramiden,0.631527517
Pyramiden,1.110921966
Pyramiden,-0.083362817
Pyramiden,-0.082815133
Pyramiden,1.244438234
Pyramiden,1.297820221
Pyramiden,1.217354724
Pyramiden,1.476848183
Pyramiden,1.418490468
Pyramiden,1.40423917
Pyramiden,0.722024659
Pyramiden,-0.803024724
Pyramiden,-0.182088716
Pyramiden,0.548887138
Pyramiden,0.339464403
Pyramiden,-0.806955456
Pyramiden,-0.804819683
Pyramiden,0.738061922
Pyramiden,-0.551839653
Pyramiden,0.359671114
Pyramiden,-0.722391652
Pyramiden,0.961598207
Pyramiden,1.233911456
Pyramiden,0.049223359
Pyramiden,-0.932419694
Pyramiden,1.163492298
Pyramiden,1.180808282
Pyramiden,-0.545649588
Pyramiden,0.980336456
Pyramiden,1.467566949
Pyramiden,-0.62521835
Pyramiden,1.534336935
Pyramiden,1.405691235
Pyramiden,0.975090674
Pyramiden,1.612737588
Pyramiden,0.050070695
Pyramiden,0.871993423
Pyramiden,0.933792499
Grumant,1.6661128
Grumant,0.055706465
Grumant,0.75486907
Grumant,0.023294601
Grumant,2.257332405
Grumant,-0.071910247
Grumant,-0.025430299
Grumant,2.415204546
Grumant,-0.012811349
Grumant,-0.092273261
